position,entityId,entityName,droneId,droneName,eventType,description,riskType,distance,timestamp,visible,onlyRadar
{"lat":"45.66924519367389","lng":"8.722106375020863"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1553.33,1549641672000,true,true
{"lat":"45.66917416333587","lng":"8.721990275728013"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1545.97,1549641676000,false,true
{"lat":"45.66915809626958","lng":"8.721959261872462"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1544.33,1549641677000,true,true
{"lat":"45.66914264202377","lng":"8.721927616481386"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1542.77,1549641678000,false,true
{"lat":"45.6691277683455","lng":"8.72189540626073"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1541.28,1549641679000,true,true
{"lat":"45.66911344525638","lng":"8.721862688853463"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1539.86,1549641680000,false,true
{"lat":"45.66909964324796","lng":"8.721829515830493"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1538.5,1549641681000,true,true
{"lat":"45.66908633603117","lng":"8.721795931252341"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1537.21,1549641682000,false,true
{"lat":"45.66907349621821","lng":"8.721761976046036"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1535.98,1549641683000,true,true
{"lat":"45.66906110007146","lng":"8.72172768478073"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1534.8,1549641684000,false,true
{"lat":"45.6690263507505","lng":"8.721623089761115"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1531.57,1549641687000,true,true
{"lat":"45.669015513640204","lng":"8.721587733317202"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1530.59,1549641688000,false,true
{"lat":"45.668984994062974","lng":"8.721480465531714"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1527.91,1549641691000,true,true
{"lat":"45.668975433268805","lng":"8.721444362925467"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1527.1,1549641692000,false,true
{"lat":"45.66894825534079","lng":"8.72133526568073"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1524.87,1549641695000,true,true
{"lat":"45.66893943302009","lng":"8.721298779883263"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1524.16,1549641696000,false,true
{"lat":"45.66893067903981","lng":"8.721262260408935"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1523.47,1549641697000,true,true
{"lat":"45.668921993000716","lng":"8.721225707734241"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1522.79,1549641698000,false,true
