position,entityId,entityName,droneId,droneName,eventType,description,riskType,distance,timestamp,visible,onlyRadar
{"lat":"45.61079710627029","lng":"8.71597094400376"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1451.19,1549641995000,false,true
{"lat":"45.61079710627029","lng":"8.71597094400376"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",981.18,1549641995000,false,true
{"lat":"45.610820878135705","lng":"8.716329314589053"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2007.24,1549642002000,true,true
{"lat":"45.610820878135705","lng":"8.716329314589053"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1431.69,1549642002000,true,true
{"lat":"45.610820878135705","lng":"8.716329314589053"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",976.06,1549642002000,true,true
{"lat":"45.61082427411648","lng":"8.716380510386953"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2005.78,1549642003000,false,true
{"lat":"45.61082427411648","lng":"8.716380510386953"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1428.93,1549642003000,false,true
{"lat":"45.61082427411648","lng":"8.716380510386953"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",975.4,1549642003000,false,true
{"lat":"45.61082767009725","lng":"8.716431706184851"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2004.32,1549642004000,true,true
{"lat":"45.61082767009725","lng":"8.716431706184851"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1426.18,1549642004000,true,true
